gene_id,name
FBgn0004168,5-HT1A
FBgn0263116,5-HT1B
FBgn0087012,5-HT2A
FBgn0261929,5-HT2B
FBgn0004573,5-HT7
FBgn0053517,Dop2R
FBgn0035538,DopEcR
FBgn0011582,Dop1R1
FBgn0266137,Dop1R2
FBgn0037950,HisCl1
FBgn0038542,TyrR
FBgn0038541,TyrRII
FBgn0004514,Oct-TyrR
FBgn0038653,Octalpha2R
FBgn0038980,Octbeta1R
FBgn0038063,Octbeta2R
FBgn0250910,Octbeta3R
FBgn0024944,Oamb
FBgn0029830,Grip
FBgn0004619,GluRIA
FBgn0264000,GluRIB
FBgn0038840,Grik
FBgn0038837,KaiR1D
FBgn0026255,clumsy
FBgn0039927,CG11155
FBgn0024963,GluClalpha
FBgn0019985,mGluR
FBgn0050361,mtt
FBgn0013305,Nmda1
FBgn0010399,Nmdar1
FBgn0053513,Nmdar2
FBgn0039916,Ekar
FBgn0260446,GABA-B-R1
FBgn0027575,GABA-B-R2
FBgn0031275,GABA-B-R3
FBgn0004244,Rdl
FBgn0001134,Grd
FBgn0086778,nAChRalpha-7E
FBgn0032151,nAChRalpha6
FBgn0028875,nAChRalpha5
FBgn0266347,nAChRalpha4
FBgn0015519,nAChRalpha3
FBgn0000039,nAChRalpha2
FBgn0000036,nAChRalpha1
FBgn0031261,nAChRbeta3
FBgn0004118,nAChRbeta2
FBgn0000038,nAChRbeta1
FBgn0000037,mAChR-A
FBgn0037546,mAChR-B
FBgn0029909,mAChR-C
